"","sample_name","sample_year","site","plot","canopy_position","leaf_deltaN15","leaf_fiber_percent","leaf_lignin_percent","leaf_cellulose_percent","leafN","leafC","c2n_leaf","LMA","species_scientific","species_common","family","plant_type","succession","PFT","species_code","instrument","sample_id","project","pine_needle_oldnew","spruce_needle_age","leaf_water_content","comments"
"106","AK18_PIRU_M3",2009,"AK","AK18","M",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK18_PIRU_M3_2009","FFT",NA,"3",NA,NA
"107","AK18_PIRU_MN",2009,"AK","AK18","M",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK18_PIRU_MN_2009","FFT",NA,"N",NA,NA
"108","AK18_PIRU_T2",2009,"AK","AK18","T",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK18_PIRU_T2_2009","FFT",NA,"2",NA,NA
"109","AK18_PIRU_T3",2009,"AK","AK18","T",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK18_PIRU_T3_2009","FFT",NA,"3",NA,NA
"110","AK18_TSCA_T2",2009,"AK","AK18","T",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK18_TSCA_T2_2009","FFT",NA,"2",NA,NA
"111","AK18_TSCA_T3",2009,"AK","AK18","T",NA,24.3592331,13.07769929,11.2815338,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK18_TSCA_T3_2009","FFT",NA,"3",NA,NA
"112","AK18_TSCA_TN",2009,"AK","AK18","T",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK18_TSCA_TN_2009","FFT",NA,"N",NA,NA
"113","AK20_ABBA_B2",2009,"AK","AK20","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK20_ABBA_B2_2009","FFT",NA,"2",NA,NA
"114","AK20_ABBA_B3",2009,"AK","AK20","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK20_ABBA_B3_2009","FFT",NA,"3",NA,NA
"115","AK20_ABBA_BN",2009,"AK","AK20","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK20_ABBA_BN_2009","FFT",NA,"N",NA,NA
"116","AK20_ABBA_M2",2009,"AK","AK20","M",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK20_ABBA_M2_2009","FFT",NA,"2",NA,NA
"117","AK20_ABBA_M3",2009,"AK","AK20","M",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK20_ABBA_M3_2009","FFT",NA,"3",NA,NA
"118","AK20_ABBA_MN",2009,"AK","AK20","M",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK20_ABBA_MN_2009","FFT",NA,"N",NA,NA
"119","AK20_ABBA_T2",2009,"AK","AK20","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK20_ABBA_T2_2009","FFT",NA,"2",NA,NA
"120","AK20_ABBA_T3",2009,"AK","AK20","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK20_ABBA_T3_2009","FFT",NA,"3",NA,NA
"121","AK20_ABBA_TN",2009,"AK","AK20","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK20_ABBA_TN_2009","FFT",NA,"N",NA,NA
"122","AK20_ACSM_T",2009,"AK","AK20","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_AK20_ACSM_T_2009","FFT",NA,NA,NA,NA
"123","AK20_BEAL_M",2009,"AK","AK20","M",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK20_BEAL_M_2009","FFT",NA,NA,NA,NA
"124","AK20_FRAM_T",2009,"AK","AK20","T",NA,NA,NA,NA,NA,NA,NA,NA,"Fraxinus americana","white ash","Oleaceae","broadleaf","mid","mid hardwood","FRAM2","ASD FieldSpec 3","FFT_AK20_FRAM_T_2009","FFT",NA,NA,NA,NA
"125","AK20_OSVI_B",2009,"AK","AK20","B",NA,NA,NA,NA,NA,NA,NA,NA,"Ostrya virginiana","hophornbeam","Betulaceae","broadleaf","mid","mid hardwood","OSVI","ASD FieldSpec 3","FFT_AK20_OSVI_B_2009","FFT",NA,NA,NA,NA
"126","AK20_PIST_TN",2009,"AK","AK20","T",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_AK20_PIST_TN_2009","FFT","N",NA,NA,NA
"127","AK20_PIST_TO",2009,"AK","AK20","T",NA,55.09059773,34.605257635,20.4853401,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_AK20_PIST_TO_2009","FFT","O",NA,NA,NA
"128","AK20_THOC_T2",2009,"AK","AK20","T",NA,NA,NA,NA,NA,NA,NA,NA,"Thuja occidentalis","Northern white cedar","Cupressaceae","conifer","late","late conifer","THOC2","ASD FieldSpec 3","FFT_AK20_THOC_T2_2009","FFT",NA,"2",NA,NA
"129","AK20_THOC_T3",2009,"AK","AK20","T",NA,NA,NA,NA,NA,NA,NA,NA,"Thuja occidentalis","Northern white cedar","Cupressaceae","conifer","late","late conifer","THOC2","ASD FieldSpec 3","FFT_AK20_THOC_T3_2009","FFT",NA,"3",NA,NA
"130","AK20_THOC_TN",2009,"AK","AK20","T",NA,NA,NA,NA,NA,NA,NA,NA,"Thuja occidentalis","Northern white cedar","Cupressaceae","conifer","late","late conifer","THOC2","ASD FieldSpec 3","FFT_AK20_THOC_TN_2009","FFT",NA,"N",NA,NA
"131","AK21_ACSM_T",2009,"AK","AK21","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_AK21_ACSM_T_2009","FFT",NA,NA,NA,NA
"132","AK21_BEAL_M",2009,"AK","AK21","M",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK21_BEAL_M_2009","FFT",NA,NA,NA,NA
"133","AK21_BEAL_T",2009,"AK","AK21","T",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK21_BEAL_T_2009","FFT",NA,NA,NA,NA
"134","AK21_FAGR_B",2009,"AK","AK21","B",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR","ASD FieldSpec 3","FFT_AK21_FAGR_B_2009","FFT",NA,NA,NA,NA
"135","AK21_FAGR_M",2009,"AK","AK21","M",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR","ASD FieldSpec 3","FFT_AK21_FAGR_M_2009","FFT",NA,NA,NA,NA
"136","AK21_TSCA_B2",2009,"AK","AK21","B",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK21_TSCA_B2_2009","FFT",NA,"2",NA,NA
"137","AK21_TSCA_B3",2009,"AK","AK21","B",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK21_TSCA_B3_2009","FFT",NA,"3",NA,NA
"138","AK21_TSCA_BN",2009,"AK","AK21","B",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK21_TSCA_BN_2009","FFT",NA,"N",NA,NA
"139","AK21_TSCA_M2",2009,"AK","AK21","M",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK21_TSCA_M2_2009","FFT",NA,"2",NA,NA
"140","AK21_TSCA_M3",2009,"AK","AK21","M",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK21_TSCA_M3_2009","FFT",NA,"3",NA,NA
"141","AK21_TSCA_MN",2009,"AK","AK21","M",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK21_TSCA_MN_2009","FFT",NA,"N",NA,NA
"142","AK21_TSCA_T2",2009,"AK","AK21","T",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK21_TSCA_T2_2009","FFT",NA,"2",NA,NA
"143","AK21_TSCA_T3",2009,"AK","AK21","T",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK21_TSCA_T3_2009","FFT",NA,"3",NA,NA
"144","AK21_TSCA_TN",2009,"AK","AK21","T",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK21_TSCA_TN_2009","FFT",NA,"N",NA,NA
"145","AK22_ACSM_T",2009,"AK","AK22","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_AK22_ACSM_T_2009","FFT",NA,NA,NA,NA
"146","AK22_BEAL_T",2009,"AK","AK22","T",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK22_BEAL_T_2009","FFT",NA,NA,NA,NA
"147","AK22_FAGR_B",2009,"AK","AK22","B",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR","ASD FieldSpec 3","FFT_AK22_FAGR_B_2009","FFT",NA,NA,NA,NA
"148","AK22_FAGR_M",2009,"AK","AK22","M",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR","ASD FieldSpec 3","FFT_AK22_FAGR_M_2009","FFT",NA,NA,NA,NA
"149","AK23_ACSM_T",2009,"AK","AK23","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_AK23_ACSM_T_2009","FFT",NA,NA,NA,NA
"150","AK23_FAGR_B",2009,"AK","AK23","B",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR","ASD FieldSpec 3","FFT_AK23_FAGR_B_2009","FFT",NA,NA,NA,NA
"151","AK23_FAGR_M",2009,"AK","AK23","M",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR","ASD FieldSpec 3","FFT_AK23_FAGR_M_2009","FFT",NA,NA,NA,NA
"152","AK23_OSVI_B",2009,"AK","AK23","B",NA,NA,NA,NA,NA,NA,NA,NA,"Ostrya virginiana","hophornbeam","Betulaceae","broadleaf","mid","mid hardwood","OSVI","ASD FieldSpec 3","FFT_AK23_OSVI_B_2009","FFT",NA,NA,NA,NA
"153","AK23_OSVI_M",2009,"AK","AK23","M",NA,NA,NA,NA,NA,NA,NA,NA,"Ostrya virginiana","hophornbeam","Betulaceae","broadleaf","mid","mid hardwood","OSVI","ASD FieldSpec 3","FFT_AK23_OSVI_M_2009","FFT",NA,NA,NA,NA
"154","AK23_TIAM_T",2009,"AK","AK23","T",NA,NA,NA,NA,NA,NA,NA,NA,"Tilia americana","American basswood","Tiliaceae","broadleaf","late","late hardwood","TIAM","ASD FieldSpec 3","FFT_AK23_TIAM_T_2009","FFT",NA,NA,NA,NA
"155","AK24_ACSM_T",2009,"AK","AK24","T",NA,29.79988112,16.18783436,13.61204676,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_AK24_ACSM_T_2009","FFT",NA,NA,NA,NA
"156","AK24_BEAL_T",2009,"AK","AK24","T",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK24_BEAL_T_2009","FFT",NA,NA,NA,NA
"157","AK24_FAGR_B",2009,"AK","AK24","B",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR","ASD FieldSpec 3","FFT_AK24_FAGR_B_2009","FFT",NA,NA,NA,NA
"158","AK24_FAGR_M",2009,"AK","AK24","M",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR","ASD FieldSpec 3","FFT_AK24_FAGR_M_2009","FFT",NA,NA,NA,NA
"159","AK24_FRAM_T",2009,"AK","AK24","T",NA,NA,NA,NA,NA,NA,NA,NA,"Fraxinus americana","white ash","Oleaceae","broadleaf","mid","mid hardwood","FRAM2","ASD FieldSpec 3","FFT_AK24_FRAM_T_2009","FFT",NA,NA,NA,NA
"160","AK26_PIRU_T3",2009,"AK","AK26","T",NA,45.9579750933333,26.22603848,19.7319366133333,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU",NA,NA,"FFT",NA,"3",NA,NA
"161","AK26_PIRU_TN",2009,"AK","AK26","T",NA,46.60408644,25.59922571,21.00486073,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU",NA,NA,"FFT",NA,"N",NA,NA
"162","AK27_BEAL_T",2009,"AK","AK27","T",NA,35.1017152,22.01834862,13.08336657,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2",NA,NA,"FFT",NA,NA,NA,NA
"163","AK29_ACSM_T",2009,"AK","AK29","T",NA,28.38066978,16.95633743,11.42433234,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3",NA,NA,"FFT",NA,NA,NA,NA
"164","AK29_FAGR_T",2009,"AK","AK29","T",NA,49.875184715,32.23468475,17.640499965,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR",NA,NA,"FFT",NA,NA,NA,NA
"165","AK31_ACSM_T",2009,"AK","AK31","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_AK31_ACSM_T_2009","FFT",NA,NA,NA,NA
"166","AK31_BEAL_T",2009,"AK","AK31","T",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK31_BEAL_T_2009","FFT",NA,NA,NA,NA
"167","AK31_BEPA_T",2009,"AK","AK31","T",NA,NA,NA,NA,NA,NA,NA,NA,"Betula papyrifera","paper birch","Betulaceae","broadleaf","early","early hardwood","BEPA","ASD FieldSpec 3","FFT_AK31_BEPA_T_2009","FFT",NA,NA,NA,NA
"168","AK31_FAGR_B",2009,"AK","AK31","B",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR","ASD FieldSpec 3","FFT_AK31_FAGR_B_2009","FFT",NA,NA,NA,NA
"169","AK31_FAGR_T",2009,"AK","AK31","T",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR","ASD FieldSpec 3","FFT_AK31_FAGR_T_2009","FFT",NA,NA,NA,NA
"170","AK36B_FAGR_B",2009,"AK","AK36B","B",NA,49.47660756,25.59282205,23.88378552,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR",NA,NA,"FFT",NA,NA,NA,NA
"171","AK44_ACSM_M",2009,"AK","AK44","M",NA,31.08081011,17.90655705,13.17425306,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3",NA,NA,"FFT",NA,NA,NA,NA
"172","AK46_ACRU_M",2009,"AK","AK46","M",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_AK46_ACRU_M_2009","FFT",NA,NA,NA,NA
"173","AK46_ACRU_T",2009,"AK","AK46","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_AK46_ACRU_T_2009","FFT",NA,NA,NA,NA
"174","AK46_BEAL_M",2009,"AK","AK46","M",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK46_BEAL_M_2009","FFT",NA,NA,NA,NA
"175","AK46_BEAL_T",2009,"AK","AK46","T",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK46_BEAL_T_2009","FFT",NA,NA,NA,NA
"176","AK46_FAGR_B",2009,"AK","AK46","B",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR","ASD FieldSpec 3","FFT_AK46_FAGR_B_2009","FFT",NA,NA,NA,NA
"177","AK46_FAGR_M",2009,"AK","AK46","M",NA,50.46934292,29.39884162,21.0705013,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR","ASD FieldSpec 3","FFT_AK46_FAGR_M_2009","FFT",NA,NA,NA,NA
"178","AK47B_ACRU_T",2009,"AK","AK47B","T",NA,36.08164899,19.79187513,16.28977386,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU",NA,NA,"FFT",NA,NA,NA,NA
"179","AK52_BEAL_T",2009,"AK","AK52","T",NA,38.31261463,23.66007744,14.65253719,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2",NA,NA,"FFT",NA,NA,NA,NA
"180","AK57_ABBA_B2",2009,"AK","AK57","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK57_ABBA_B2_2009","FFT",NA,"2",NA,NA
"181","AK57_ABBA_B3",2009,"AK","AK57","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK57_ABBA_B3_2009","FFT",NA,"3",NA,NA
"182","AK57_ABBA_BN",2009,"AK","AK57","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK57_ABBA_BN_2009","FFT",NA,"N",NA,NA
"183","AK57_ABBA_T2",2009,"AK","AK57","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK57_ABBA_T2_2009","FFT",NA,"2",NA,NA
"184","AK57_ABBA_T3",2009,"AK","AK57","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK57_ABBA_T3_2009","FFT",NA,"3",NA,NA
"185","AK57_ABBA_TN",2009,"AK","AK57","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK57_ABBA_TN_2009","FFT",NA,"N",NA,NA
"186","AK57_BEPA_M",2009,"AK","AK57","M",NA,NA,NA,NA,NA,NA,NA,NA,"Betula papyrifera","paper birch","Betulaceae","broadleaf","early","early hardwood","BEPA","ASD FieldSpec 3","FFT_AK57_BEPA_M_2009","FFT",NA,NA,NA,NA
"187","AK57_BEPA_T",2009,"AK","AK57","T",NA,NA,NA,NA,NA,NA,NA,NA,"Betula papyrifera","paper birch","Betulaceae","broadleaf","early","early hardwood","BEPA","ASD FieldSpec 3","FFT_AK57_BEPA_T_2009","FFT",NA,NA,NA,NA
"188","AK57_PIRU_B2",2009,"AK","AK57","B",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK57_PIRU_B2_2009","FFT",NA,"2",NA,NA
"189","AK57_PIRU_B3",2009,"AK","AK57","B",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK57_PIRU_B3_2009","FFT",NA,"3",NA,NA
"190","AK57_PIRU_BN",2009,"AK","AK57","B",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK57_PIRU_BN_2009","FFT",NA,"N",NA,NA
"191","AK57_PIRU_MN",2009,"AK","AK57","M",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK57_PIRU_MN_2009","FFT",NA,"N",NA,NA
"192","AK57_PIRU_T2",2009,"AK","AK57","T",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK57_PIRU_T2_2009","FFT",NA,"2",NA,NA
"193","AK57_PIRU_T3",2009,"AK","AK57","T",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK57_PIRU_T3_2009","FFT",NA,"3",NA,NA
"194","AK57_PIRU_TN",2009,"AK","AK57","T",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK57_PIRU_TN_2009","FFT",NA,"N",NA,NA
"195","AK58_ABBA_B2",2009,"AK","AK58","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK58_ABBA_B2_2009","FFT",NA,"2",NA,NA
"196","AK58_ABBA_B3",2009,"AK","AK58","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK58_ABBA_B3_2009","FFT",NA,"3",NA,NA
"197","AK58_ABBA_BN",2009,"AK","AK58","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK58_ABBA_BN_2009","FFT",NA,"N",NA,NA
"198","AK58_ABBA_T2",2009,"AK","AK58","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK58_ABBA_T2_2009","FFT",NA,"2",NA,NA
"199","AK58_ABBA_T3",2009,"AK","AK58","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK58_ABBA_T3_2009","FFT",NA,"3",NA,NA
"200","AK58_ABBA_TN",2009,"AK","AK58","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK58_ABBA_TN_2009","FFT",NA,"N",NA,NA
"201","AK58_ACRU_B",2009,"AK","AK58","B",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_AK58_ACRU_B_2009","FFT",NA,NA,NA,NA
"202","AK58_ACRU_M",2009,"AK","AK58","M",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_AK58_ACRU_M_2009","FFT",NA,NA,NA,NA
"203","AK58_ACRU_T",2009,"AK","AK58","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_AK58_ACRU_T_2009","FFT",NA,NA,NA,NA
"204","AK58_BEAL_B",2009,"AK","AK58","B",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK58_BEAL_B_2009","FFT",NA,NA,NA,NA
"205","AK58_PIRU_B2",2009,"AK","AK58","B",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK58_PIRU_B2_2009","FFT",NA,"2",NA,NA
